Blooket Import Template,,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
19,¿Qué clase permite ejecutar código en paralelo en Java?,Parallel para ejecutar múltiples tareas simultáneamente en procesadores multinúcleo,Thread para crear hilos de ejecución independientes en mismo proceso,Async para operaciones asíncronas sin bloquear el hilo principal ejecución,Concurrent que es la clase base de toda programación paralela moderna,25,2
20,¿Qué interfaz implementa una clase para ser ejecutada en un hilo?,Executable que define el método run() para lógica del hilo,Runnable con método run() que contiene código a ejecutar en hilo,Threadable para clases que pueden ejecutarse en hilos separados paralelos,Concurrent para cualquier tarea que se ejecute concurrentemente en sistema,25,2
21,¿Qué método inicia un hilo en Java?,thread.run() ejecuta el código directamente en el hilo actual bloqueando,thread.start() crea nuevo hilo y ejecuta run() en él de forma asíncrona,thread.execute() inicia la ejecución asíncrona del hilo de forma segura,thread.begin() marca el inicio de ejecución del hilo en background,25,2
22,¿Qué pasa si llamas a run() en vez de start()?,Se ejecuta de forma más rápida y optimizada automáticamente por JVM,Se ejecuta en el hilo actual no crea nuevo hilo de ejecución,Lanza excepción porque run() no debe llamarse directamente nunca,No hay diferencia ambos métodos tienen el mismo comportamiento exacto,30,2
23,¿Qué estructura de datos almacena clientes conectados?,Un socket único que multipleza todas las conexiones automáticamente internamente,Lista o Set como ArrayList o HashSet de sockets o handlers,Una base de datos SQL donde cada fila es un cliente conectado activo,Un archivo de texto que se lee cada vez que llega mensaje nuevo,30,2
24,¿Por qué usar una lista de clientes en el servidor?,Para limitar el número máximo de conexiones simultáneas al servidor,Para broadcast enviar mensajes a todos los clientes conectados actualmente,Solo para llevar estadísticas no tiene función en la lógica del chat,Para ordenar los clientes alfabéticamente por nombre de usuario registrado,30,2
25,¿Qué es broadcast en un chat?,Enviar mensaje solo al primer cliente conectado al servidor por antigüedad,Enviar mensaje a todos los clientes conectados simultáneamente en grupo,Un protocolo especial para mensajes de alta prioridad urgentes únicamente,Una técnica de compresión de mensajes para optimizar ancho de banda,25,2
26,¿Cómo implementar broadcast en servidor?,Enviando el mensaje solo una vez el socket lo distribuye automáticamente,Iterando sobre lista de clientes y enviando a cada uno individualmente,Usando un socket especial de tipo broadcast que lo hace automáticamente,Solo es posible con UDP no puede hacerse con TCP por limitaciones,30,2
27,¿Qué debe hacer el servidor al recibir mensaje de cliente?,Guardarlo en base de datos sin reenviarlo a otros clientes conectados,Reenviarlo broadcast a todos los clientes conectados excepto emisor original,Procesarlo con inteligencia artificial antes de distribuirlo a destinatarios,Solo responder al cliente que envió el mensaje de forma privada,30,2
28,¿Por qué usar hilos en el servidor de chat?,Para mejorar la interfaz gráfica del servidor con animaciones fluidas,Para que cada cliente se maneje independiente sin bloquear a otros,Solo para servidores con más de 100 clientes conectados simultáneamente,Para consumir más recursos y aprovechar procesadores multinúcleo modernos,30,2
29,¿Qué excepción lanza Socket al fallar la conexión?,NetworkException cuando hay problemas de red o conectividad general,IOException al no poder conectar o perder conexión durante comunicación,SocketException exclusivamente para errores relacionados con sockets TCP,ConnectionException específica para fallos de conexión entre endpoints,25,2
30,¿Dónde debe cerrarse un socket?,Al inicio del programa para liberar recursos antes de usarlos nuevamente,En bloque finally o try-with-resources para garantizar cierre siempre,Solo si hay error nunca en operación normal exitosa del programa,Automáticamente el garbage collector lo cierra no requiere intervención manual,30,2
31,¿Qué es try-with-resources?,Un bloque para capturar múltiples excepciones diferentes simultáneamente en código,Sintaxis que cierra recursos automáticamente al salir del bloque try,Una técnica de optimización de memoria para aplicaciones empresariales grandes,Un patrón de diseño para gestionar conexiones a bases de datos únicamente,30,2
32,¿Qué interfaz debe implementar un recurso para try-with-resources?,Closable que es la interfaz estándar para recursos del sistema operativo,AutoCloseable con método close() para cierre automático de recurso,Disposable para liberar recursos de memoria cuando no se necesitan más,Resource que es la interfaz base de todos los recursos del sistema,30,2
33,¿Qué hace socket.close()?,Solo libera memoria no cierra la conexión de red física realmente,Cierra conexión liberando recursos de sistema operativo y puerto usado,Pausa temporalmente la conexión que puede reanudarse posteriormente después,Envía señal al otro extremo pero mantiene socket abierto localmente,25,2
34,¿Cómo enviar objeto serializado por socket?,Solo pueden enviarse Strings nunca objetos complejos por sockets Java,Usando ObjectOutputStream para escribir objeto serializable al socket remoto,Convirtiendo objeto a JSON manualmente con librería externa Jackson siempre,Los objetos se envían automáticamente sin configuración adicional necesaria,30,2
35,¿Qué interfaz implementa un objeto para ser serializado?,Sendable que marca objetos que pueden enviarse por red de forma segura,Serializable interfaz marcadora para indicar que puede serializarse objeto,Transferable para objetos que se transfieren entre procesos distribuidos remotos,Networkable para clases diseñadas específicamente para comunicación en red,25,2
36,¿Qué es un mensaje en un sistema de chat?,Una estructura de datos compleja con encriptación de extremo a extremo,String con formato específico o clase con datos del mensaje texto y metadatos,Un archivo binario comprimido que contiene texto e imágenes adjuntas,Un paquete UDP con header especial para routing en red distribuida,30,2
37,¿Qué información debe contener un mensaje de chat?,Solo el texto del mensaje sin información adicional para optimizar transmisión,Texto del mensaje usuario que envía y opcionalmente timestamp de envío,Dirección IP del emisor y receptor para enrutamiento en red TCP/IP,Una firma digital para verificar autenticidad e integridad del mensaje,30,2
38,¿Cómo identificar clientes en el servidor?,Por su dirección IP que es única en la red local o global,Con username proporcionado al conectarse o ID único generado por servidor,Por el puerto local que asigna automáticamente el sistema operativo,Usando MAC address de la tarjeta de red física del dispositivo,30,2
39,¿Qué patrón puede manejar eventos del socket?,Observer pattern para observar cambios en el estado del socket TCP,Listener pattern con interfaces callback para eventos de red asíncronos,Singleton para asegurar una única instancia de gestor de eventos global,Factory para crear diferentes tipos de handlers de eventos dinámicamente,30,2
40,¿Qué debe hacer cliente al desconectarse?,Nada el servidor detecta desconexión automáticamente sin intervención necesaria,Notificar al servidor enviando mensaje especial antes de cerrar socket limpiamente,Solo cerrar ventana el sistema operativo gestiona desconexión de red,Esperar timeout del servidor que cierra conexiones inactivas automáticamente después,30,2
41,¿Qué debe hacer servidor cuando cliente se desconecta?,Ignorar la desconexión y seguir enviando mensajes al socket cerrado,Remover cliente de lista de clientes activos y cerrar recursos asociados,Intentar reconectar automáticamente enviando pings periódicos al cliente perdido,Mantener socket abierto indefinidamente esperando posible reconexión futura cliente,30,2
42,¿Cómo detectar que un cliente se desconectó?,Enviando ping cada segundo y esperando respuesta pong del cliente remoto,Cuando read() retorna -1 o lanza IOException al leer del socket,Solo mediante timeout configurable de inactividad en el socket TCP,El servidor no puede detectarlo el cliente debe notificar explícitamente siempre,30,2
43,¿Qué es un protocolo de aplicación?,El protocolo TCP o UDP subyacente que usa la aplicación de red,Formato y reglas que definen cómo se intercambian mensajes en aplicación,Un conjunto de librerías y frameworks para desarrollo de aplicaciones red,Una especificación de seguridad para proteger comunicaciones en Internet público,30,2
44,¿Qué protocolo de aplicación puede usar un chat?,Solo HTTP porque es el único protocolo estándar de Internet moderno,Protocolo personalizado definiendo formato de mensajes específico aplicación,Obligatoriamente WebSocket para comunicación bidireccional en tiempo real siempre,FTP modificado para transferir mensajes en lugar de archivos entre usuarios,30,2
45,¿Qué es sincronización en programación concurrente?,Ejecutar todo el código en un solo hilo para evitar condiciones carrera,Coordinar acceso a recursos compartidos para evitar condiciones de carrera,Una técnica para hacer que código asíncrono parezca síncrono al programador,Un patrón de diseño para sincronizar datos entre cliente y servidor distribuido,35,2
46,¿Por qué sincronizar la lista de clientes?,Para que esté ordenada alfabéticamente por nombre de usuario conectado,Para evitar condiciones de carrera cuando múltiples hilos la modifican simultáneamente,Solo es necesario en servidores con más de mil clientes concurrentes conectados,Para mejorar el rendimiento de búsqueda de clientes en la lista grande,35,2
47,¿Qué palabra clave sincroniza un método en Java?,sync para indicar que el método requiere sincronización de hilos concurrentes,synchronized para asegurar que solo un hilo ejecute el método simultáneamente,atomic para operaciones atómicas sin posibilidad de interrupción durante ejecución,concurrent indicando que el método puede ejecutarse concurrentemente por múltiples hilos,30,2
48,¿Qué es un deadlock?,Cuando un hilo se detiene permanentemente esperando recurso imposible de obtener,Cuando el servidor deja de responder por sobrecarga de clientes conectados,Un tipo de excepción que se lanza cuando hay error en socket TCP,Una técnica de optimización para reducir latencia en comunicaciones de red,35,1
49,¿Qué es non-blocking IO?,Entrada/salida que no permite operaciones de escritura solo lectura de datos,Operaciones IO que no bloquean hilo pudiendo hacer otras tareas mientras esperan,Una técnica obsoleta reemplazada por sockets síncronos modernos de Java,Solo disponible en sistemas operativos Unix no en Windows plataforma Microsoft,35,2
50,¿Qué librería Java ofrece NIO (New IO)?,java.io que es el paquete estándar de entrada y salida de Java tradicional,java.nio con canales selectores y buffers para IO eficiente no bloqueante,javax.socket con implementaciones avanzadas de sockets de alto rendimiento TCP,java.net.nio que es específica para operaciones de red asíncronas avanzadas,35,2
